# board_size=656,256
4,250
5,249
6,249
6,250
6,251
7,31
8,32
9,30
9,31
9,32
12,218
13,217
14,217
14,218
14,219
14,234
15,15
15,233
16,16
16,233
16,234
16,235
17,14
17,15
17,16
17,35
18,36
19,34
19,35
19,36
22,214
23,213
24,213
24,214
24,215
25,31
26,32
27,30
27,31
27,32
27,215
28,214
29,214
29,215
29,216
29,237
30,42
30,236
31,43
31,236
31,237
31,238
32,41
32,42
32,43
32,56
33,57
34,55
34,56
34,57
37,235
38,234
39,234
39,235
39,236
40,58
41,59
42,57
42,58
42,59
45,209
46,208
47,208
47,209
47,210
47,231
48,48
48,230
49,49
49,230
49,231
49,232
50,47
50,48
50,49
50,62
51,38
51,63
52,36
52,38
52,61
52,62
52,63
53,37
53,38
55,205
56,204
56,225
57,204
57,205
57,206
57,225
57,227
58,52
58,225
58,226
59,53
59,213
60,51
60,52
60,53
60,212
61,212
61,213
61,214
62,56
63,57
64,55
64,56
64,57
65,40
66,38
66,40
67,39
67,40
67,199
68,198
69,198
69,199
69,200
70,51
70,58
71,49
71,51
71,59
72,50
72,51
72,57
72,58
72,59
75,179
75,191
76,178
76,190
77,178
77,179
77,180
77,190
77,191
77,192
77,207
78,42
78,54
78,206
79,43
79,55
79,206
79,207
79,208
80,41
80,42
80,43
80,53
80,54
80,55
80,62
81,63
82,61
82,62
82,63
82,217
83,217
83,219
84,209
84,217
84,218
85,187
85,209
85,211
86,186
86,209
86,210
87,186
87,187
87,188
88,58
89,59
90,57
90,58
90,59
90,188
91,187
92,187
92,188
92,189
93,69
94,70
95,68
95,69
95,70
98,168
99,167
100,167
100,168
100,169
100,184
101,53
101,183
102,54
102,183
102,184
102,185
103,52
103,53
103,54
103,73
104,74
105,72
105,73
105,74
108,182
109,181
110,181
110,182
110,183
111,75
112,76
113,58
113,74
113,75
113,76
114,56
114,58
115,57
115,58
116,180
117,179
118,179
118,180
118,181
118,196
119,77
119,195
120,78
120,195
120,196
120,197
121,76
121,77
121,78
121,85
122,86
122,201
123,84
123,85
123,86
123,201
123,203
124,63
124,201
124,202
125,61
125,63
126,62
126,63
126,170
127,169
128,67
128,169
128,170
128,171
129,65
129,67
129,75
130,66
130,67
130,76
131,74
131,75
131,76
131,171
132,170
133,170
133,171
133,172
134,86
135,87
136,85
136,86
136,87
136,172
136,184
137,171
137,183
138,171
138,172
138,173
138,183
138,184
138,185
139,85
